submission_id,age,comments,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,explanation,gender,itemName,languages,question,responseTime,settingName,trialNr,trial_type,answer_num,sampled_goals,category
159,35,NA,main,Graduated College,336940,1735935895229,1735935558289,NA,female,candy-dessert,English,Do we have any candy?,96452,candy,1,main,answer1,To satisfy the craving,target
159,35,NA,main,Graduated College,336940,1735935895229,1735935558289,NA,female,candy-dessert,English,Do we have any candy?,96452,candy,1,main,answer2,To get some candy from somewhere,target
159,35,NA,main,Graduated College,336940,1735935895229,1735935558289,NA,female,candy-dessert,English,Do we have any candy?,96452,candy,1,main,answer3,To end his hunger,superordinate
159,35,NA,main,Graduated College,336940,1735935895229,1735935558289,NA,female,postit-reading,English,Are there post-its?,42126,postit,2,main,answer1,They want to take notes of what they read,target-feature
159,35,NA,main,Graduated College,336940,1735935895229,1735935558289,NA,female,postit-reading,English,Are there post-its?,42126,postit,2,main,answer2,They want something to help them take notes,target-feature
159,35,NA,main,Graduated College,336940,1735935895229,1735935558289,NA,female,postit-reading,English,Are there post-its?,42126,postit,2,main,answer3,They want some post it notes,target
159,35,NA,main,Graduated College,336940,1735935895229,1735935558289,NA,female,sugar-baking,English,Do you have sugar?,58676,sugar,3,main,answer1,To gain a missing ingredient they need,target-feature
159,35,NA,main,Graduated College,336940,1735935895229,1735935558289,NA,female,sugar-baking,English,Do you have sugar?,58676,sugar,3,main,answer2,To make some cookies,superordinate
159,35,NA,main,Graduated College,336940,1735935895229,1735935558289,NA,female,sugar-baking,English,Do you have sugar?,58676,sugar,3,main,answer3,To avoid having to go to the shop,subordinate
159,35,NA,main,Graduated College,336940,1735935895229,1735935558289,NA,female,sweatpants-spill,English,Do you have sweatpants?,76839,sweatpants,5,main,answer1,To get out of wet clothes in the outdoors,target-feature
159,35,NA,main,Graduated College,336940,1735935895229,1735935558289,NA,female,sweatpants-spill,English,Do you have sweatpants?,76839,sweatpants,5,main,answer2,To avoid been embarrassd,superordinate
159,35,NA,main,Graduated College,336940,1735935895229,1735935558289,NA,female,sweatpants-spill,English,Do you have sweatpants?,76839,sweatpants,5,main,answer3,To stop bugs been attracted to the stain,subordinate
