submission_id,age,answer,category,comments,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,explanation,gender,itemName,languages,responseTime,settingName,trialNr,trial_type
106,27,"The class that was suggested is close enough to what the student wanted, the one that was not offered. ",inference,,main,Graduated College,145907,1735189291286,1735189145379,"I'm sorry, we don't have a pottery class. We have a watercolor painting class.",male,kidsActivities-crafts,,43043,kidsActivities,1,main
106,27,teacher,,,teacher,Graduated College,145907,1735189291286,1735189145379,NA,male,jobCenter-office,,13885,jobCenter,2,main
106,27,"Cigarettes are close, but they are no cigar. ",similarity,,main,Graduated College,145907,1735189291286,1735189145379,"I'm sorry, we don't have cigars. We have cigarettes.",male,dutyFree-smokes,,20114,dutyFree,3,main
106,27,Monopoly is another game like Scrabble that can be fun to play.,similarity,,main,Graduated College,145907,1735189291286,1735189145379,"I'm sorry, we don't have Scrabble. We have Monopoly.",male,friendsActivities-boardGames,,20258,friendsActivities,4,main
106,27,This drink is similar to the one that they did not offer. ,similarity,,main,Graduated College,145907,1735189291286,1735189145379,"I'm sorry, we don't have Sauvignon Blanc. We have Chardonnay.",male,bar-whiteWine,,23249,bar,5,main
107,64,Because iced tea is a different drink entirely to iced coffee. They don't sell it,other,,main,Did not graduate High-school,290259,1735189747592,1735189457333,"I'm sorry, we don't have iced tea. We have iced coffee.",male,bar-tea,English,47668,bar,1,main
107,64,The other options are either not available at that time or else they don't do that particular combination ,literal,,main,Did not graduate High-school,290259,1735189747592,1735189457333,"I'm sorry, we don't have a single room in a five-star hotel. We have a suite in a four-star hotel.",male,bookingAgency-highClassAccommodation,English,63585,bookingAgency,2,main
107,64,sculpture,,,sculpture,Did not graduate High-school,290259,1735189747592,1735189457333,NA,male,art-drawing,English,27220,art,3,main
107,64,they don't happen to sell veggie pizza. vegetables are different from cheese,literal,,main,Did not graduate High-school,290259,1735189747592,1735189457333,"I'm sorry, we don't have veggie pizza. We have cheese pizza.",male,cafe-pizza,English,43483,cafe,4,main
107,64,They don't stock earrings,literal,,main,Did not graduate High-school,290259,1735189747592,1735189457333,"I'm sorry, we don't have earrings. We have necklaces.",male,clothing-acc,English,54747,clothing,5,main
108,54,A boxing class uses hands where a kickboxing class uses feet.,other,,main,Graduated College,380981,1735189775165,1735189394184,"I'm sorry, we don't have boxing classes. We have kickboxing classes.",female,gym-boxing,English,64997,gymActivities,1,main
108,54,Neither a cheese pizza nor a pepperoni pizza have vegetables on them.,inference,,main,Graduated College,380981,1735189775165,1735189394184,"I'm sorry, we don't have veggie pizza. We have cheese pizza.",female,cafe-pizza,English,48668,cafe,2,main
