submission_id,age,comments,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,responseTime,settingName,trialNr,trial_type,itemName,answer,response_option,option_category,category,vignette_start,vignette_continuation,question,taciturn,answer_template,itemQuestion,competitor,sameCategory,otherCategory,character_template
4664,51,thanks,main,Higher degree,451527,1672169690783,1672169239256,male,English,97448,books,3,main,books-romance,"""Sorry, I don't have them at the moment, though I do have books of French love letters if you are interested""",French love letters,competitor,competitor,You are at a bookshop in a small town. The shop currently has,\n\nA student walks in and asks the cashier:,Do you have a book of love poems?,"I’m sorry, we don’t have love poems.",We sell *.,love poems,books of French love letters,historical dramas,mystery novels,The cashier replies:
4657,62,Nothing to add.,main,Graduated College,307308,1672168785168,1672168477860,male,English,47628,friendsActivities,2,main,friendsActivities-videoEntertainment,"Afraid not, but i've prepared some movies and games for us all.",movie,competitor,competitor,"You are at a casual Saturday night get together with your friends at a friend’s house. For activities, the friend prepared",\n\nOne friend asks the host:,Do you have Netflix?,"I'm sorry, I don't have Netflix.",I have *.,Netflix,some movies,Xbox games,Monopoly,The host replies:
4625,40,NA,main,Graduated College,106425,1672165773127,1672165666702,female,English,21573,interior,5,main,interior-green,ah sorry I don't but I have an agave plant you could have?,agave,competitor,competitor,Your aunt likes to decorate the house and often crafts decorations herself. She often gives away crafts and plants to friends and family. Your aunt currently has,\n\nA friend just moved and wants to get something to decorate her new apartment. She visits your aunt and asks her:,Do you have an aloe vera plant?,"I'm sorry, I don’t have an aloe vera.",I have *.,an aloe vera plant,an agave plant,tulips,an oil painting,Your aunt replies:
4745,32,NA,main,Higher degree,1448945,1672241577263,1672240128318,male,English,1076593,bar,2,main,bar-whiteWine,Apologies we don't have Sauvignon Blanc but if you like a glass of white wine we have Chardonnay in our bar.,Chardonnay,competitor,competitor,You are at a hotel bar. The bar serves only,\n\nA woman walks in. She says to the bartender:,Do you have Sauvignon Blanc?,"I'm sorry, we don't have Sauvignon Blanc today.",We have *.,Sauvignon Blanc,Chardonnay,craft beer,iced coffee,The bartender replies:
4678,51,all great.,main,Graduated College,366214,1672171954080,1672171587866,female,"English, Estonian",74800,zoo,1,main,zoo-reptiles,"chameleon is probably near to iguanas, let's go and have a look.",iguana,competitor,competitor,You and a group of friends are at the zoo today. You all carefully studied the map of the zoo and saw that there is,\n\nOne friend with an eight-year-old kid arrives late. The kid runs up to one of your friend impatiently and asks:,Can we see the chameleon?,"I'm sorry, they don't have chameleons here.",They have *.,a chameleon,iguanas,turtles,a lion,Your friend replies:
4652,36,NA,main,Graduated High-school,217810,1672168701395,1672168483585,female,"english, welsh",31522,zoo,5,main,zoo-reptiles,do you mean iguanas?,iguana,competitor,competitor,You and a group of friends are at the zoo today. You all carefully studied the map of the zoo and saw that there is,\n\nOne friend with an eight-year-old kid arrives late. The kid runs up to one of your friend impatiently and asks:,Can we see the chameleon?,"I'm sorry, they don't have chameleons here.",They have *.,a chameleon,iguanas,turtles,a lion,Your friend replies:
4620,28,NA,main,Higher degree,231683,1672164906357,1672164674674,female,English,64373,petAdoption,1,main,petAdoption-hamster,"Hello, unfortunately we don’t have any hamsters but we do have gerbils, would you like to have a look?",gerbil,competitor,competitor,You are at an adoption center for rescued animals. Currently there are the following animals at the center:,\n\nA family comes in and asks an employee:,Do you have any hamsters?,"I'm sorry, we don’t have any hamsters.",We have *.,hamsters,gerbils,ferrets,golden retrievers,The employee replies:
4678,51,all great.,main,Graduated College,366214,1672171954080,1672171587866,female,"English, Estonian",74683,waterSport,3,main,waterSport-muscle,"hello, we do have kayaks if you are interested.",kayak,competitor,competitor,You are at a water sports rental agency in a popular tourist region with a large lake for different types of water sports. The agency offers,\n\nA customer calls on the phone and asks the agent:,Do you rent canoes?,"I'm sorry, we don’t rent canoes.",We rent *.,canoes,kayaks,pedal boats,water ski equipment,The agent replies:
4678,51,all great.,main,Graduated College,366214,1672171954080,1672171587866,female,"English, Estonian",44816,gymActivities,4,main,gym-boxing,"hello, we do offer kickboxing classes, are you interested about it?",kickboxing,competitor,competitor,You are at the reception desk of a gym. The gym currently offers,\n\nA woman walks in and asks the receptionist:,Do you offer boxing classes?,"I’m sorry, we don’t have boxing.",We have *.,boxing classes,kickboxing classes,karate classes,pilates,The receptionist replies:
4630,36,NA,main,Graduated College,158740,1672165844403,1672165685663,female,NA,20813,books,2,main,books-romance,"Hmm, not exactly but I have French love letters, would that be any good?",French love letters,competitor,competitor,You are at a bookshop in a small town. The shop currently has,\n\nA student walks in and asks the cashier:,Do you have a book of love poems?,"I’m sorry, we don’t have love poems.",We sell *.,love poems,books of French love letters,historical dramas,mystery novels,The cashier replies:
4667,34,thanks,main,Did not graduate High-school,150388,1672171729239,1672171578851,female,english,29850,cafe,4,main,cafe-pie,I  could offer you raspberry pie instead?,raspberry pie,competitor,competitor,You are in a café. Today the café has,\n\nA customer asks the waiter:,Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake today.",We have *.,raspberry cake,raspberry pie,chocolate cookies,cheese pizza,The waiter replies:
4648,31,NA,main,Higher degree,175066,1672168658394,1672168483328,male,"English, Polish",27949,bar,2,main,bar-tea,I am afraid we do not have iced tea. We do have iced coffee.,iced coffee,competitor,competitor,You are a bartender in a hotel bar. The bar serves only,\n\nA woman walks in. She says to the bartender:,Do you have iced tea?,"I'm sorry, we don't have iced tea today.",We have *.,iced tea,iced coffee,soda,Chardonnay,The bartender replies:
4761,41,NA,main,Graduated College,284164,1672244039324,1672243755160,male,english,28676,electronics,2,main,electronics-laptop,I do have a macbook.,MacBook Air,competitor,competitor,You are at a second hand electronics store. The store currently has,\n\nA young man walks in and asks the sales assistant:,Do you have a MacBook Pro?,"I’m sorry, we don’t have a MacBook Pro.",We have *.,a MacBook Pro,a MacBook Air,a desktop computer,an Xbox,The sales assistant replies:
