itemName,settingName,vignette_start,vignette_continuation,question,priorElicitation_context,priorElicitation_question,taciturn,answer_template,itemQuestion,competitor,sameCategory,otherCategory,correct_response,character_template,questioner
cafe-pie,cafe,You are in a café. Today the café has ,\n\nA customer asks the waiter: ,Do you have raspberry cake?,Suppose someone wants,got,"I'm sorry, we don't have raspberry cake today.",We have *.,raspberry cake,raspberry pie,chocolate cookies,cheese pizza,main,The waiter replies: ,the customer
cafe-pizza,cafe,You are in a café. Today the café has ,\n\nA customer asks the waiter: ,Do you have veggie pizza?,Suppose you learn someone wants to have,had,"I'm sorry, we don't have veggie pizza today.",We have *.,veggie pizza,cheese pizza,pepperoni pizza,raspberry pie,main,The waiter replies: ,the customer
bar-whiteWine,bar,You are at a hotel bar. The bar serves only ,\n\nA woman walks in. She says to the bartender:,Do you have Sauvignon Blanc?,Suppose you learn someone wants to have,had,"I'm sorry, we don't have Sauvignon Blanc today.",We have *.,Sauvignon Blanc,Chardonnay,craft beer,iced coffee,main,The bartender replies: ,the woman
bar-tea,bar,You are a bartender in a hotel bar. The bar serves only ,\n\nA woman walks in. She says to the bartender:,Do you have iced tea?,Suppose you learn someone wants to have,had,"I'm sorry, we don't have iced tea today.",We have *.,iced tea,iced coffee,soda,Chardonnay,main,The bartender replies: ,the woman
touristInfo-childTheatre,touristInfo,You are at a tourist office in a medium-sized tourist town. Today the following events are happening: ,\n\nA young woman walks in and asks the consultant:,Is there a theatre performance for children today?,Suppose you learn wants to go to,went to,"I'm sorry, there is no theatre performance for children today.",There is *.,a theatre performance for children,a circus show,a trade fare,a club event with a hip hop DJ,main,The consultant replies: ,the young woman
touristInfo-clubbing,touristInfo,You are at a tourist office in a medium-sized tourist town. Today the following events are happening: ,\n\nA young woman walks in and asks the consultant:,Is there a club event with electronic music today?,Suppose you learn wants to go to,went to,"I'm sorry, there is no club event with electronic music today.",There is *.,a club event with electronic music,a club event with a hip hop DJ,live jazz music,a circus show,main,The consultant replies: ,the young woman
bookingAgency-lowClassAccommodation,bookingAgency,You are in a travel booking agency in a medium-sized tourist town. The following types of accommodation are still available for tomorrow night: ,\n\nA young man walks in and asks the agent:,Is there a bed in the youth hostel available for tomorrow night?,Suppose you learn a tourist calling a booking agency wants to book,want to book,"I'm sorry, there are no more beds available in the youth hostel available for tomorrow night.",There is *.,a bed in the youth hostel,a room in a cheap bed-and-breakfast,a room in a budget hotel,a suite in a four-star hotel,main,The agent replies: ,the young man
bookingAgency-highClassAccommodation,bookingAgency,You are in a travel booking agency in a medium-sized tourist town. The following types of accommodation are still available for tomorrow night: ,\n\nAn older man walks in and asks the agent: ,Is a single room in a five-star hotel available for tomorrow night?,Suppose you learn a tourist calling a booking agency wants to book,want to book,"I'm sorry, there is no single room in a five-star hotel available for tomorrow night.",There is *.,a single room in a five-star hotel,a suite in a four-star hotel,an expensive apartment close to the city,a room in a cheap bed-and-breakfast,main,The agent replies: ,the older man
waterSport-motor,waterSport,You are at a water sports rental agency in a popular tourist region with a large lake for different types of water sports. The agency offers ,\n\nA customer calls on the phone and asks the agent:,Do you rent jet skis?,Suppose you learn a customer at a water sports rental agency of a popular resort with a large lake wants to rent,want to rent,"I'm sorry, we don’t rent jet skis.",We rent *.,jet skis,water ski equipment,rubber dinghies,kayaks,main,The agent replies: ,the customer
waterSport-muscle,waterSport,You are at a water sports rental agency in a popular tourist region with a large lake for different types of water sports. The agency offers ,\n\nA customer calls on the phone and asks the agent:,Do you rent canoes?,Suppose you learn a customer at a water sports rental agency of a popular resort with a large lake wants to rent,want to rent,"I'm sorry, we don’t rent canoes.",We rent *.,canoes,kayaks,pedal boats,water ski equipment,main,The agent replies: ,the customer
